date,percents
2017-04-14,0.9659863945578231
2017-04-15,5.519746865111919
2017-04-16,7.478340173278614
2017-04-17,6.093238822246456
2017-04-18,2.231697360065318
2017-04-19,3.1578947368421053
2017-04-20,2.4959157741876927
2017-04-21,2.6373028820010873
2017-04-22,1.4181394856598581
2017-04-23,2.618657937806874
2017-04-24,3.2889941690962097
2017-04-25,2.976244652771457
2017-04-26,8.841580360567702
2017-04-27,3.5036496350364965
2017-04-28,2.102973168963017
2017-04-29,1.9369178662150721
2017-04-30,7.673469387755103
2017-05-01,5.754491770322905
2017-05-02,1.632801161103048
2017-05-03,3.292405638926785
2017-05-04,5.174156787060013
2017-05-05,5.864702673213311
2017-05-06,1.7462165308498252
2017-05-07,4.952926729431027
2017-05-08,5.868372943327239
2017-05-09,2.368421052631579
